"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1048576,123456,1,parallel,1,143.089550
seq,uniform-random,1048576,123456,1,parallel,2,149.269688
seq,uniform-random,1048576,123456,1,drake,1,144.618067
seq,uniform-random,1048576,123456,1,drake,2,144.812509
seq,uniform-random,1048576,123456,2,parallel,1,146.875116
seq,uniform-random,1048576,123456,2,parallel,2,147.276435
seq,uniform-random,1048576,123456,2,drake,1,146.525203
seq,uniform-random,1048576,123456,2,drake,2,150.149013
seq,uniform-random,4194304,123456,1,parallel,1,679.674732
seq,uniform-random,4194304,123456,1,parallel,2,619.465495
seq,uniform-random,4194304,123456,1,drake,1,625.280424
seq,uniform-random,4194304,123456,1,drake,2,622.225836
seq,uniform-random,4194304,123456,2,parallel,1,640.902234
seq,uniform-random,4194304,123456,2,parallel,2,621.875502
seq,uniform-random,4194304,123456,2,drake,1,623.118570
seq,uniform-random,4194304,123456,2,drake,2,624.132133
seq,uniform-random,16777216,123456,1,parallel,1,2667.349919
seq,uniform-random,16777216,123456,1,parallel,2,2654.111379
seq,uniform-random,16777216,123456,1,drake,1,2790.717998
seq,uniform-random,16777216,123456,1,drake,2,2675.334900
seq,uniform-random,16777216,123456,2,parallel,1,2708.957892
seq,uniform-random,16777216,123456,2,parallel,2,2686.773182
seq,uniform-random,16777216,123456,2,drake,1,2728.126627
seq,uniform-random,16777216,123456,2,drake,2,2674.037902
seq,increasing,1048576,123456,1,parallel,1,32.919674
seq,increasing,1048576,123456,1,parallel,2,29.740761
seq,increasing,1048576,123456,1,drake,1,38.337828
seq,increasing,1048576,123456,1,drake,2,30.233017
seq,increasing,4194304,123456,1,parallel,1,133.795083
seq,increasing,4194304,123456,1,parallel,2,133.669645
seq,increasing,4194304,123456,1,drake,1,135.074051
seq,increasing,4194304,123456,1,drake,2,136.548511
seq,increasing,16777216,123456,1,parallel,1,582.556497
seq,increasing,16777216,123456,1,parallel,2,579.636214
seq,increasing,16777216,123456,1,drake,1,593.139973
seq,increasing,16777216,123456,1,drake,2,590.036631
seq,decreasing,1048576,123456,1,parallel,1,117.665989
seq,decreasing,1048576,123456,1,parallel,2,118.238842
seq,decreasing,1048576,123456,1,drake,1,123.426584
seq,decreasing,1048576,123456,1,drake,2,125.469217
seq,decreasing,4194304,123456,1,parallel,1,506.572008
seq,decreasing,4194304,123456,1,parallel,2,508.612546
seq,decreasing,4194304,123456,1,drake,1,584.010421
seq,decreasing,4194304,123456,1,drake,2,568.245280
seq,decreasing,16777216,123456,1,parallel,1,2055.218960
seq,decreasing,16777216,123456,1,parallel,2,2058.950540
seq,decreasing,16777216,123456,1,drake,1,2153.384870
