"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1048576,123456,1,parallel,1,1641.042153
seq,uniform-random,1048576,123456,1,parallel,2,1643.591421
seq,uniform-random,1048576,123456,1,drake,1,1435.360657
seq,uniform-random,1048576,123456,1,drake,2,1434.077432
seq,uniform-random,1048576,123456,2,parallel,1,1643.237178
seq,uniform-random,1048576,123456,2,parallel,2,1647.648739
seq,uniform-random,1048576,123456,2,drake,1,1447.044755
seq,uniform-random,1048576,123456,2,drake,2,1421.163401
seq,uniform-random,4194304,123456,1,parallel,1,6464.953906
seq,uniform-random,4194304,123456,1,parallel,2,6466.318082
seq,uniform-random,4194304,123456,1,drake,1,5683.681187
seq,uniform-random,4194304,123456,1,drake,2,5677.195363
seq,uniform-random,4194304,123456,2,parallel,1,6461.574287
seq,uniform-random,4194304,123456,2,parallel,2,6468.118225
seq,uniform-random,4194304,123456,2,drake,1,5676.272257
seq,uniform-random,4194304,123456,2,drake,2,5674.341450
seq,uniform-random,16777216,123456,1,parallel,1,25952.104464
seq,uniform-random,16777216,123456,1,parallel,2,25946.941440
seq,uniform-random,16777216,123456,1,drake,1,22847.576589
seq,uniform-random,16777216,123456,1,drake,2,22900.662789
seq,uniform-random,16777216,123456,2,parallel,1,25951.611338
seq,uniform-random,16777216,123456,2,parallel,2,25945.204549
seq,uniform-random,16777216,123456,2,drake,1,22869.712907
seq,uniform-random,16777216,123456,2,drake,2,22717.540017
seq,increasing,1048576,123456,1,parallel,1,14.676450
seq,increasing,1048576,123456,1,parallel,2,13.908946
seq,increasing,1048576,123456,1,drake,1,14.753137
seq,increasing,1048576,123456,1,drake,2,13.304595
seq,increasing,4194304,123456,1,parallel,1,62.145354
seq,increasing,4194304,123456,1,parallel,2,63.645651
seq,increasing,4194304,123456,1,drake,1,66.172848
seq,increasing,4194304,123456,1,drake,2,65.164945
seq,increasing,16777216,123456,1,parallel,1,299.034433
seq,increasing,16777216,123456,1,parallel,2,298.602944
seq,increasing,16777216,123456,1,drake,1,304.340123
seq,increasing,16777216,123456,1,drake,2,308.899750
seq,decreasing,1048576,123456,1,parallel,1,3760.512666
seq,decreasing,1048576,123456,1,parallel,2,3767.461971
seq,decreasing,1048576,123456,1,drake,1,3268.053894
seq,decreasing,1048576,123456,1,drake,2,3260.909100
seq,decreasing,4194304,123456,1,parallel,1,15070.555479
seq,decreasing,4194304,123456,1,parallel,2,15075.409996
seq,decreasing,4194304,123456,1,drake,1,13004.232501
seq,decreasing,4194304,123456,1,drake,2,13039.206791
seq,decreasing,16777216,123456,1,parallel,1,60402.821983
seq,decreasing,16777216,123456,1,parallel,2,60418.536719
seq,decreasing,16777216,123456,1,drake,1,52182.877442
seq,decreasing,16777216,123456,1,drake,2,52284.136266
seq,constant,1048576,123456,1,parallel,1,11.045664
seq,constant,1048576,123456,1,parallel,2,11.114599
seq,constant,1048576,123456,1,drake,1,12.327002
seq,constant,1048576,123456,1,drake,2,12.308634
seq,constant,4194304,123456,1,parallel,1,54.866882
seq,constant,4194304,123456,1,parallel,2,55.318695
seq,constant,4194304,123456,1,drake,1,67.733630
seq,constant,4194304,123456,1,drake,2,74.782880
seq,constant,16777216,123456,1,parallel,1,261.701701
seq,constant,16777216,123456,1,parallel,2,274.229712
seq,constant,16777216,123456,1,drake,1,274.636896
seq,constant,16777216,123456,1,drake,2,277.795823
2,uniform-random,1048576,123456,1,parallel,1,848.460419
2,uniform-random,1048576,123456,1,parallel,2,855.189020
2,uniform-random,1048576,123456,1,drake,1,748.372039
2,uniform-random,1048576,123456,1,drake,2,754.052576
2,uniform-random,1048576,123456,2,parallel,1,880.615348
2,uniform-random,1048576,123456,2,parallel,2,850.272006
2,uniform-random,1048576,123456,2,drake,1,732.504138
2,uniform-random,1048576,123456,2,drake,2,749.487990
2,uniform-random,4194304,123456,1,parallel,1,5096.192805
2,uniform-random,4194304,123456,1,parallel,2,5052.105278
2,uniform-random,4194304,123456,1,drake,1,2849.582400
2,uniform-random,4194304,123456,1,drake,2,2871.379690
2,uniform-random,4194304,123456,2,parallel,1,5070.669820
2,uniform-random,4194304,123456,2,parallel,2,5053.080780
2,uniform-random,4194304,123456,2,drake,1,2845.558052
2,uniform-random,4194304,123456,2,drake,2,2874.751222
2,uniform-random,16777216,123456,1,parallel,1,14119.355238
2,uniform-random,16777216,123456,1,parallel,2,14183.083178
2,uniform-random,16777216,123456,1,drake,1,11589.505322
2,uniform-random,16777216,123456,1,drake,2,11516.962734
2,uniform-random,16777216,123456,2,parallel,1,14110.740995
2,uniform-random,16777216,123456,2,parallel,2,14164.195037
2,uniform-random,16777216,123456,2,drake,1,11606.430616
2,uniform-random,16777216,123456,2,drake,2,11428.282820
2,increasing,1048576,123456,1,parallel,1,9.887808
2,increasing,1048576,123456,1,parallel,2,8.914685
2,increasing,1048576,123456,1,drake,1,7.850208
2,increasing,1048576,123456,1,drake,2,7.818989
2,increasing,4194304,123456,1,parallel,1,38.709272
2,increasing,4194304,123456,1,parallel,2,41.721180
2,increasing,4194304,123456,1,drake,1,40.709016
2,increasing,4194304,123456,1,drake,2,37.860890
2,increasing,16777216,123456,1,parallel,1,179.494656
2,increasing,16777216,123456,1,parallel,2,181.542173
2,increasing,16777216,123456,1,drake,1,175.574511
2,increasing,16777216,123456,1,drake,2,170.043437
2,decreasing,1048576,123456,1,parallel,1,1639.125038
2,decreasing,1048576,123456,1,parallel,2,1618.994063
2,decreasing,1048576,123456,1,drake,1,1644.790419
2,decreasing,1048576,123456,1,drake,2,1666.733401
2,decreasing,4194304,123456,1,parallel,1,6501.912226
2,decreasing,4194304,123456,1,parallel,2,6564.383751
2,decreasing,4194304,123456,1,drake,1,6563.971889
2,decreasing,4194304,123456,1,drake,2,6525.135366
2,decreasing,16777216,123456,1,parallel,1,26030.942976
2,decreasing,16777216,123456,1,parallel,2,26081.112048
2,decreasing,16777216,123456,1,drake,1,26107.185579
2,decreasing,16777216,123456,1,drake,2,26210.367621
2,constant,1048576,123456,1,parallel,1,8.709696
2,constant,1048576,123456,1,parallel,2,8.706763
2,constant,1048576,123456,1,drake,1,7.944008
2,constant,1048576,123456,1,drake,2,7.399792
2,constant,4194304,123456,1,parallel,1,41.793538
2,constant,4194304,123456,1,parallel,2,44.561274
2,constant,4194304,123456,1,drake,1,40.015755
2,constant,4194304,123456,1,drake,2,40.633515
2,constant,16777216,123456,1,parallel,1,195.615810
2,constant,16777216,123456,1,parallel,2,197.436755
2,constant,16777216,123456,1,drake,1,163.094413
2,constant,16777216,123456,1,drake,2,155.688965
3,uniform-random,1048576,123456,1,parallel,1,611.169889
3,uniform-random,1048576,123456,1,parallel,2,583.801437
3,uniform-random,1048576,123456,1,drake,1,760.526053
3,uniform-random,1048576,123456,1,drake,2,742.570477
3,uniform-random,1048576,123456,2,parallel,1,608.156655
3,uniform-random,1048576,123456,2,parallel,2,599.134132
3,uniform-random,1048576,123456,2,drake,1,750.920901
3,uniform-random,1048576,123456,2,drake,2,737.042546
3,uniform-random,4194304,123456,1,parallel,1,2922.932571
3,uniform-random,4194304,123456,1,parallel,2,2905.704479
3,uniform-random,4194304,123456,1,drake,1,2932.589828
3,uniform-random,4194304,123456,1,drake,2,2886.725703
3,uniform-random,4194304,123456,2,parallel,1,2956.565590
3,uniform-random,4194304,123456,2,parallel,2,2981.434014
3,uniform-random,4194304,123456,2,drake,1,2909.410419
3,uniform-random,4194304,123456,2,drake,2,2925.411371
3,uniform-random,16777216,123456,1,parallel,1,8076.075705
3,uniform-random,16777216,123456,1,parallel,2,7961.780502
3,uniform-random,16777216,123456,1,drake,1,11519.027048
3,uniform-random,16777216,123456,1,drake,2,11499.792166
3,uniform-random,16777216,123456,2,parallel,1,8024.905771
3,uniform-random,16777216,123456,2,parallel,2,8023.212643
3,uniform-random,16777216,123456,2,drake,1,11437.039895
3,uniform-random,16777216,123456,2,drake,2,11485.835267
3,increasing,1048576,123456,1,parallel,1,5.883571
3,increasing,1048576,123456,1,parallel,2,5.865761
3,increasing,1048576,123456,1,drake,1,7.672459
3,increasing,1048576,123456,1,drake,2,8.049541
3,increasing,4194304,123456,1,parallel,1,24.904044
3,increasing,4194304,123456,1,parallel,2,26.884371
3,increasing,4194304,123456,1,drake,1,37.110987
3,increasing,4194304,123456,1,drake,2,39.356158
3,increasing,16777216,123456,1,parallel,1,112.074761
3,increasing,16777216,123456,1,parallel,2,112.330177
3,increasing,16777216,123456,1,drake,1,165.983818
3,increasing,16777216,123456,1,drake,2,169.183533
3,decreasing,1048576,123456,1,parallel,1,1626.662424
3,decreasing,1048576,123456,1,parallel,2,1635.163151
3,decreasing,1048576,123456,1,drake,1,1673.677563
3,decreasing,1048576,123456,1,drake,2,1642.211004
3,decreasing,4194304,123456,1,parallel,1,6483.612211
3,decreasing,4194304,123456,1,parallel,2,6521.763441
3,decreasing,4194304,123456,1,drake,1,6613.311778
3,decreasing,4194304,123456,1,drake,2,6599.017301
3,decreasing,16777216,123456,1,parallel,1,26216.800438
3,decreasing,16777216,123456,1,parallel,2,26242.093402
3,decreasing,16777216,123456,1,drake,1,26592.286035
3,decreasing,16777216,123456,1,drake,2,26270.213155
